LAT	LON	A2023	A2022	A2021	A2020	A2019	A2018	A2017	A2016	A2015	A2014	A2013	A2012	A2011	A2010	A2009	A2008	A2007	A2006	A2005	A2004	A2003	A2002	A2001	A2000
4.25	-16.75	39.04	40.25	63.39	59.25	52.56	75.61	43.98	49.87	24.28	34.52	27.57	23.3	47.49	34.12	35.58	30.47	30.38	40.28	24.85	30.08	52.52	48.43	56.25	57.67
4.25	-16.25	60.29	48.36	84.58	52.65	61.24	69.74	57.28	50.93	25.25	37.22	30.74	30.61	49.51	28.17	34.73	35.65	31.75	44.97	22.83	31.11	52.37	48.13	55.63	57.66
4.25	-15.75	86.85	53.96	90.99	66.74	53.24	66.52	62.71	56.33	23.88	40.71	33.04	43.52	50.93	25.06	31.39	42.5	34.02	46.21	23.22	30.94	46.06	41.61	46.76	54.26
4.25	-15.25	73.97	42.84	73.77	89.13	53.58	52.24	52.04	60.14	21.42	43.1	34.55	48.18	54.88	25.87	30.19	47.17	35.42	42.28	21.64	29.37	42.44	43.86	37.17	46.71
4.25	-14.75	67.37	46.18	68.33	80.75	51.07	54.09	33.97	56.28	20.21	43.78	35.2	46.37	57.9	27.14	34.3	49.08	35.29	48.61	19.19	27.38	44.56	46.12	28.77	37.64
4.25	-14.25	42.95	46.47	90.41	51.32	44.77	66.8	35.08	44.62	29.41	42.46	34.22	41.82	57.26	27.23	37.74	49.01	33.59	58.07	21.24	27.89	46.08	44.9	28.2	36.12
4.25	-13.75	39.58	54.84	77.6	36.26	43.77	74.28	50.92	30.95	38.58	39.19	30.4	40.1	50.99	26.33	38.6	47.94	30.83	65.93	23.09	25.2	45.37	40.44	29.21	38.2
4.25	-13.25	64.99	73.16	73.89	60.39	51.64	66.25	55.04	24.6	39.15	34.93	29.69	41.68	42.49	24.86	35.44	43.66	29.4	54.75	23.41	23.4	40.26	40	28.82	36.22
4.25	-12.75	55.32	73.78	100.35	65.11	77.63	69.89	54.14	32.25	40.43	31.86	28.48	43.19	34.37	24.42	34.74	35.95	29.08	41.35	22.69	25.87	51.04	39.85	28.49	37.66
4.25	-12.25	51.01	60.74	115.16	63.64	86.34	75.5	49.28	40.49	41.34	35.17	29.79	46.07	31.26	30.65	40.04	27.39	29.69	37.53	20.93	32.49	63.78	39.54	32.46	46.62
4.25	-11.75	47.49	43.85	82.81	57.38	69.45	74.4	42.06	44.61	40.52	38.47	31.24	48.81	31.83	35.51	43.37	28.76	30.43	40.89	22.09	36.94	74.08	39.05	36.84	53.6
4.25	-11.25	33.83	46.68	54.55	47.4	77.65	58.94	37.26	44.81	41.41	37.48	30.48	46.95	33.45	36.68	43.5	28.13	29.88	44.6	22.32	36.09	75.5	38.78	35.61	54.82
4.25	-10.75	25.57	45.32	58.57	63.89	84.72	59.05	34.72	54.43	41.2	35.19	36.71	35.03	41.37	38.35	40.49	28.41	27.06	45.81	23.38	35.43	67.83	38.97	39.52	55.22
4.25	-10.25	33.38	60.07	59.4	85.14	64.71	56.14	41.18	77.16	53.98	35.41	53.77	28.86	51.12	39.17	37.25	32.97	27.15	39.98	28.81	47.81	67.68	39.68	51.34	52.3
4.25	-9.75	43.06	88.19	68.19	115.95	66.3	46.38	46.96	87.11	81.8	40.03	64.27	33.96	55.45	39.53	33.81	36.79	45.94	46.17	41.76	75.1	88.25	42.09	62.37	46.76
4.25	-9.25	56.69	108.43	78.4	133.06	72.95	56.74	52.97	76.42	100.25	41.47	61.39	45.49	50.7	39.44	33.85	42.32	64.3	49.42	52.28	95.84	102.16	48.7	66.36	48.42
4.25	-8.75	62.2	104.07	80.96	134.68	83.76	71.33	52.72	68.32	93.59	49.22	47.04	53.62	36.71	38.61	33.53	53.12	72.24	45.91	54	96.5	103.04	55.64	58.23	51.82
4.25	-8.25	55.98	92.65	113.75	132.88	65.84	108.91	99.44	61.25	82.7	53.77	49.36	54.81	36.54	40.59	32.02	61.14	70.44	42.25	53.2	94.36	101.2	59.8	60.31	52.18
4.25	-7.75	68.14	116.23	133.79	143.33	64.87	134.51	132.09	57.14	83.45	65.14	52.14	48.03	37.23	57.08	31.98	68.44	68.65	43.82	60.5	77.83	100.96	58.4	64.81	49.57
4.25	-7.25	94.13	197.57	155.48	141.4	67.85	102.71	140.78	51.63	92.23	70.62	60.05	43.94	43.91	67.67	37.74	71.83	67.49	47.09	67.49	68.71	99.1	50.2	71.58	51.4
4.25	-6.75	129.2	402.46	164.39	122.62	79.88	51.53	114.71	52.9	101.87	82.08	68.17	45.01	53.36	62.64	46.03	72.72	65.75	54.01	74.76	73	95.81	38.31	78.63	51.32
4.25	-6.25	163.04	488.51	117.32	102.64	76.57	45.68	91.76	52.17	101.62	74.09	70.1	50.4	64.26	42.91	53.14	77.11	64.73	55.23	87.97	72.83	88.73	38	81.78	52.34
4.25	-5.75	173.6	257.54	93.85	85.11	66.98	50.85	82.24	49.35	104.19	69.89	58.67	51.06	68.02	35.12	52.9	77.19	63.58	52.32	90.74	63.45	72.81	35.81	73.69	48.06
